0.04,-0.51,-0.89,-0.99,-0.78,-0.32,0.24,0.73,0.98,0.93,0.58,0.04
-0.02,-0.56,-0.92,-0.99,-0.74,-0.26,0.30,0.77,0.99,0.90,0.52,-0.02
-0.09,-0.61,-0.94,-0.97,-0.70,-0.20,0.36,0.81,1.00,0.87,0.47,-0.09
-0.15,-0.66,-0.96,-0.96,-0.65,-0.14,0.42,0.84,1.00,0.84,0.41,-0.15
-0.21,-0.71,-0.98,-0.94,-0.60,-0.07,0.48,0.88,1.00,0.80,0.35,-0.21
-0.27,-0.75,-0.99,-0.91,-0.55,-0.01,0.53,0.91,0.99,0.76,0.29,-0.27
-0.33,-0.79,-1.00,-0.89,-0.49,0.05,0.59,0.93,0.98,0.72,0.23,-0.33
-0.39,-0.83,-1.00,-0.85,-0.44,0.12,0.64,0.95,0.97,0.67,0.17,-0.39
-0.45,-0.86,-1.00,-0.82,-0.38,0.18,0.68,0.97,0.95,0.62,0.10,-0.45
-0.51,-0.89,-0.99,-0.78,-0.32,0.24,0.73,0.98,0.93,0.57,0.04,-0.51
-0.56,-0.92,-0.99,-0.74,-0.26,0.30,0.77,0.99,0.90,0.52,-0.02,-0.56
-0.61,-0.94,-0.97,-0.70,-0.20,0.36,0.81,1.00,0.87,0.46,-0.09,-0.61
-0.66,-0.96,-0.96,-0.65,-0.13,0.42,0.85,1.00,0.84,0.41,-0.15,-0.66
-0.71,-0.98,-0.94,-0.60,-0.07,0.48,0.88,1.00,0.80,0.35,-0.21,-0.71
-0.75,-0.99,-0.91,-0.55,-0.01,0.53,0.91,0.99,0.76,0.29,-0.27,-0.75
-0.79,-1.00,-0.88,-0.49,0.06,0.59,0.93,0.98,0.72,0.23,-0.34,-0.79
-0.83,-1.00,-0.85,-0.44,0.12,0.64,0.95,0.97,0.67,0.16,-0.39,-0.83
-0.86,-1.00,-0.82,-0.38,0.18,0.69,0.97,0.95,0.62,0.10,-0.45,-0.86
-0.89,-0.99,-0.78,-0.32,0.25,0.73,0.98,0.92,0.57,0.04,-0.51,-0.89
-0.92,-0.99,-0.74,-0.26,0.31,0.77,0.99,0.90,0.52,-0.03,-0.56,-0.92
-0.94,-0.97,-0.69,-0.20,0.37,0.81,1.00,0.87,0.46,-0.09,-0.61,-0.94
-0.96,-0.96,-0.65,-0.13,0.42,0.85,1.00,0.84,0.41,-0.15,-0.66,-0.96
-0.98,-0.94,-0.60,-0.07,0.48,0.88,1.00,0.80,0.35,-0.21,-0.71,-0.98
-0.99,-0.91,-0.55,-0.01,0.54,0.91,0.99,0.76,0.29,-0.28,-0.75,-0.99
-1.00,-0.88,-0.49,0.06,0.59,0.93,0.98,0.72,0.23,-0.34,-0.79,-1.00
-1.00,-0.85,-0.43,0.12,0.64,0.95,0.97,0.67,0.16,-0.40,-0.83,-1.00
-1.00,-0.82,-0.38,0.18,0.69,0.97,0.95,0.62,0.10,-0.45,-0.86,-1.00
-0.99,-0.78,-0.32,0.25,0.73,0.98,0.92,0.57,0.04,-0.51,-0.89,-0.99
-0.99,-0.74,-0.26,0.31,0.77,0.99,0.90,0.52,-0.03,-0.56,-0.92,-0.99
-0.97,-0.69,-0.19,0.37,0.81,1.00,0.87,0.46,-0.09,-0.61,-0.94,-0.97
-0.96,-0.65,-0.13,0.43,0.85,1.00,0.83,0.40,-0.15,-0.66,-0.96,-0.96
-0.94,-0.60,-0.07,0.48,0.88,1.00,0.80,0.35,-0.22,-0.71,-0.98,-0.94
-0.91,-0.54,-0.00,0.54,0.91,0.99,0.76,0.29,-0.28,-0.75,-0.99,-0.91
-0.88,-0.49,0.06,0.59,0.93,0.98,0.72,0.22,-0.34,-0.79,-1.00,-0.88
-0.85,-0.43,0.12,0.64,0.95,0.96,0.67,0.16,-0.40,-0.83,-1.00,-0.85
-0.82,-0.37,0.19,0.69,0.97,0.95,0.62,0.10,-0.46,-0.86,-1.00,-0.82
-0.78,-0.31,0.25,0.73,0.98,0.92,0.57,0.03,-0.51,-0.89,-0.99,-0.78
-0.74,-0.25,0.31,0.77,0.99,0.90,0.52,-0.03,-0.56,-0.92,-0.99,-0.74
-0.69,-0.19,0.37,0.81,1.00,0.87,0.46,-0.09,-0.62,-0.94,-0.97,-0.69
-0.64,-0.13,0.43,0.85,1.00,0.83,0.40,-0.16,-0.67,-0.96,-0.96,-0.64
-0.59,-0.07,0.48,0.88,1.00,0.80,0.34,-0.22,-0.71,-0.98,-0.93,-0.59
-0.54,-0.00,0.54,0.91,0.99,0.76,0.28,-0.28,-0.75,-0.99,-0.91,-0.54
-0.49,0.06,0.59,0.93,0.98,0.71,0.22,-0.34,-0.79,-1.00,-0.88,-0.49
-0.43,0.13,0.64,0.95,0.96,0.67,0.16,-0.40,-0.83,-1.00,-0.85,-0.43
-0.37,0.19,0.69,0.97,0.95,0.62,0.10,-0.46,-0.87,-1.00,-0.82,-0.37
-0.31,0.25,0.73,0.98,0.92,0.57,0.03,-0.51,-0.90,-0.99,-0.78,-0.31
-0.25,0.31,0.78,0.99,0.90,0.51,-0.03,-0.57,-0.92,-0.98,-0.74,-0.25
-0.19,0.37,0.81,1.00,0.87,0.46,-0.09,-0.62,-0.94,-0.97,-0.69,-0.19
-0.13,0.43,0.85,1.00,0.83,0.40,-0.16,-0.67,-0.96,-0.96,-0.64,-0.13
-0.06,0.49,0.88,1.00,0.80,0.34,-0.22,-0.71,-0.98,-0.93,-0.59,-0.06
0.00,0.54,0.91,0.99,0.76,0.28,-0.28,-0.76,-0.99,-0.91,-0.54,-0.00
0.06,0.59,0.93,0.98,0.71,0.22,-0.34,-0.80,-1.00,-0.88,-0.49,0.06
0.13,0.64,0.96,0.96,0.67,0.16,-0.40,-0.83,-1.00,-0.85,-0.43,0.13
0.19,0.69,0.97,0.94,0.62,0.09,-0.46,-0.87,-1.00,-0.81,-0.37,0.19
0.25,0.74,0.98,0.92,0.57,0.03,-0.51,-0.90,-0.99,-0.78,-0.31,0.25
